,area,local_price,latitud,longitud,tipology,n_rooms,n_baths,has_garage,has_pool,has_elevator,is_exterior,cluster
69,180,3600,40.4328231811523,-3.68643069267273,Piso,1.0,1.0,f,f,t,t,5
70,103,1000,40.3771896362305,-3.74138164520264,Piso,1.0,1.0,t,f,t,t,0
71,127,3500,40.4295463562012,-3.70238852500916,Piso,1.0,1.0,f,f,t,f,5
72,50,700,40.4072047,-3.7345549,Piso,1.0,1.0,f,f,f,t,0
73,80,1600,40.4248733520508,-3.70084047317505,Piso,1.0,1.0,f,t,t,t,0
74,110,3045,40.4105224609375,-3.71157336235046,Piso,1.0,1.0,f,f,f,f,5
75,91,2700,40.431209564209,-3.6855800151825,Piso,1.0,1.0,f,f,t,t,5
76,40,950,40.432991027832,-3.71519207954407,Piso,1.0,1.0,f,f,f,f,0
77,190,4800,40.4595603942871,-3.79221105575562,Piso,1.0,1.0,t,t,t,t,1
78,130,1490,40.4358863830566,-3.61739349365234,Piso,1.0,1.0,t,t,t,t,0
79,78,2000,40.4120750427246,-3.69465827941895,Piso,1.0,1.0,t,f,f,t,4
80,55,1000,40.4319686889648,-3.65129494667053,Piso,1.0,1.0,f,f,t,t,0
81,80,1950,40.4700050354004,-3.70694875717163,Piso,1.0,1.0,t,t,t,t,4
82,237,4800,40.413890838623,-3.68811464309692,Piso,4.0,1.0,t,f,t,t,1
83,133,1800,40.4974899291992,-3.65530872344971,Piso,1.0,1.0,t,t,t,t,4
84,320,12000,40.4316902160645,-3.6841402053833,Piso,5.0,5.0,t,f,t,t,1
85,96,2000,40.4117202758789,-3.69491243362427,Piso,1.0,1.0,f,f,t,t,4
86,125,3000,40.4110794067383,-3.66907787322998,Piso,1.0,1.0,t,t,t,t,5
87,78,1200,40.3806076049805,-3.71160221099854,Piso,1.0,1.0,f,f,t,t,0
88,146,3144,40.4678039550781,-3.70725202560425,Piso,1.0,1.0,t,f,t,t,5
89,93,1300,40.426342010498,-3.6295907497406,Piso,1.0,1.0,f,f,t,t,0
90,132,1800,40.4070129394531,-3.72489070892334,Piso,4.0,1.0,t,f,t,t,4
91,110,1850,40.3938941955566,-3.67985820770264,Piso,1.0,1.0,f,t,t,t,4
92,126,1600,40.5118637084961,-3.67535495758057,Piso,1.0,1.0,t,t,t,t,0
93,137,2300,40.468620300293,-3.67307138442993,Piso,1.0,1.0,t,f,t,t,4
94,55,1350,40.4342269897461,-3.69937372207642,Piso,1.0,1.0,f,f,t,t,0
95,60,2500,40.4264678955078,-3.67720723152161,Piso,0.0,1.0,f,f,t,t,4
96,86,1250,40.4380912780762,-3.63727521896362,Piso,1.0,1.0,f,f,f,t,0
97,110,2500,40.4273681640625,-3.70566082000732,Piso,1.0,1.0,f,f,f,t,4
98,35,895,40.4246025085449,-3.69983839988708,Piso,1.0,1.0,f,f,f,t,0
99,240,3425,40.4914932250977,-3.71283841133118,Piso,5.0,5.0,t,t,t,t,5
100,154,4200,40.4156723022461,-3.70627856254578,Piso,1.0,1.0,f,f,t,f,1
101,70,1100,40.4302051,-3.675726,Piso,1.0,1.0,t,f,t,t,0
102,104,1900,40.4244499206543,-3.71056890487671,Piso,1.0,1.0,f,f,t,t,4
103,40,620,40.3930578,-3.7243662,Piso,1.0,1.0,f,f,f,t,0
104,106,2900,40.4096870422363,-3.70288038253784,Piso,1.0,1.0,f,f,t,t,5
105,50,1300,40.4437484741211,-3.68048501014709,Piso,1.0,1.0,f,f,f,f,0
106,80,3000,40.449592590332,-3.61595153808594,Piso,1.0,1.0,f,t,f,t,5
107,105,1095,40.3750686645508,-3.62699842453003,Piso,1.0,1.0,t,t,t,f,0
108,55,1200,40.4461152,-3.7042084,Piso,1.0,1.0,f,f,t,t,0
109,250,5500,40.4252413,-3.6961005,Piso,4.0,4.0,f,f,t,t,1
110,45,700,40.4102516174316,-3.69731497764587,Piso,0.0,1.0,f,f,f,f,0
111,118,1230,40.403923034668,-3.68044996261597,Piso,1.0,1.0,t,f,t,t,0
112,57,1289,40.4941444396973,-3.60837030410767,Piso,1.0,1.0,t,t,t,f,0
113,55,650,40.3771553039551,-3.74474620819092,Piso,0.0,1.0,f,f,f,f,0
114,50,1200,40.433826,-3.6914639,Piso,1.0,1.0,f,f,t,t,0
115,87,3450,40.4119720458984,-3.69961857795715,Piso,1.0,1.0,f,t,t,t,5
116,60,890,40.4312175,-3.6649063,Piso,1.0,1.0,t,f,t,t,0
117,32,400,40.3831878,-3.6682062,Piso,1.0,1.0,f,f,f,f,0
