,area,local_price,latitud,longitud,tipology,n_rooms,n_baths,has_garage,has_pool,has_elevator,is_exterior,cluster
604,0.5889082089923613,6500,-0.2443092015884559,-0.2268091908397832,1,0.6622630787220203,1.1601035747076742,1,1,1,1,3
605,0.2559846899225832,1900,2.321821605552899,0.9588994079563548,1,1.4818636536362335,1.1601035747076742,1,1,1,1,4
606,-0.2323031380464246,1100,1.1122391470494908,1.1791255380048118,1,-0.9769380711064064,-0.7563006134800812,1,0,1,1,0
607,0.0636288789044892,1600,1.4341891376140763,-0.5509356008784668,1,1.4818636536362335,0.2019014806137965,1,0,1,1,0
608,-0.3506759448267902,870,-2.96259445632904,-0.581885529992793,1,-0.9769380711064064,-0.7563006134800812,1,1,1,1,0
609,-0.4172606486407458,1800,1.2992866435806905,-0.1634487581474415,1,-0.157337496192193,0.2019014806137965,1,0,1,1,4
610,0.1376118831422177,3000,-0.50464507228183,-0.5045605804807762,1,-0.157337496192193,0.2019014806137965,0,0,1,1,5
611,-0.3432776444030173,1600,-0.2169395609738598,-0.4769664102550511,1,-0.157337496192193,-0.7563006134800812,0,0,0,0,0
612,-0.1435235329611504,2970,-0.5414838302695827,-0.7491747416893982,1,-0.157337496192193,0.2019014806137965,0,0,1,1,5
613,-0.45425215075961,900,2.054740610158181,0.0367924383912692,1,-0.9769380711064064,-0.7563006134800812,0,0,0,1,0
614,0.5223235051784058,2500,2.085482813126711,2.205375029178437,1,0.6622630787220203,1.1601035747076742,1,1,1,1,4
615,0.1154169818708991,2100,-1.3428565303915112,-0.2323095005256986,1,0.6622630787220203,0.2019014806137965,0,0,1,1,4
616,0.796060620858001,2900,1.0412856237460406,-0.0559576024035015,1,0.6622630787220203,1.1601035747076742,1,0,1,1,5
617,-0.5282351549973385,850,-1.3743770169794542,-0.2096029111870317,1,-0.157337496192193,-0.7563006134800812,0,0,1,1,0
618,-0.3802691465218816,650,-1.7334251934005815,2.032685254344708,1,-0.157337496192193,-0.7563006134800812,0,0,0,1,0
619,-0.4172606486407458,1950,-0.2781645390353647,0.4025487830101072,1,-0.9769380711064064,-0.7563006134800812,0,0,1,1,4
